Method,Basis set,ZPE,H(T)-H(0),S(T),Source
CCSD,"6-311+G(d,p)",0.9795,0.9918,0.9998,10.1021/jp073974n
CCSD,6-31G(d),0.9758,0.9936,1.0009,10.1021/jp073974n
CCSD(T),"6-31+G(d,p)",0.9779,1.0391,1.0555,10.1021/jp073974n
CCSD(T),"6-311+G(d,p)",0.9897,1.0244,1.0351,10.1021/jp073974n
CCSD(T),6-31G(d),0.9851,1.0247,1.0376,10.1021/jp073974n
DSD-BP86,aug'-cc-pVTZ+d,0.9817,0.9864,0.9912,10.1021/acs.jctc.6b00554
DSD-PBEP86,aug'-cc-pVTZ+d,0.983,0.9876,0.9923,10.1021/acs.jctc.6b00554
DSD-PBEPBE,aug'-cc-pVTZ+d,0.9834,0.9899,0.9948,10.1021/acs.jctc.6b00554
DuT-D3,aug'-cc-pVTZ+d,0.9769,0.9828,0.9871,10.1021/acs.jctc.6b00554
DuT-D3,cc-pVTZ,0.9756,0.9813,0.9855,10.1021/acs.jctc.6b00554
DuT-D3,def2-TZVP,0.9766,0.9781,0.9815,10.1021/acs.jctc.6b00554
DuT-D3,maug-cc-pVTZ,0.9765,0.9831,0.9874,10.1021/acs.jctc.6b00554
EDF1,"6-31+G(d,p)",1.0037,1.0448,1.0503,10.1021/jp073974n
EDF1,"6-311+G(d,p)",1.0066,1.0486,1.0586,10.1021/jp073974n
EDF1,6-31G(d),1.0006,1.0402,1.044,10.1021/jp073974n
EDF2,"6-31+G(d,p)",0.9847,1,1.0037,10.1021/jp073974n
EDF2,"6-311+G(d,p)",0.9879,1.0069,1.0149,10.1021/jp073974n
EDF2,6-31G(d),0.9805,0.9947,0.9972,10.1021/jp073974n
G96-LYP,"6-31+G(d,p)",1.0148,1.0642,1.0685,10.1021/jp073974n
G96-LYP,"6-311+G(2df,p)",1.0166,1.0484,1.0522,10.1021/jp073974n
G96-LYP,"6-311+G(d,p)",1.0168,1.0698,1.0798,10.1021/jp073974n
G96-LYP,"6-31G(2df,p)",1.0143,1.0457,1.0492,10.1021/jp073974n
G96-LYP,6-31G(d),1.0121,1.06,1.0643,10.1021/jp073974n
HCTH147,"6-31+G(d,p)",0.9999,1.0372,1.042,10.1021/jp073974n
HCTH147,"6-311+G(2df,p)",1.0037,1.0199,1.0233,10.1021/jp073974n
HCTH147,"6-311+G(d,p)",1.0028,1.0404,1.0486,10.1021/jp073974n
HCTH147,"6-31G(2df,p)",0.9998,1.0193,1.022,10.1021/jp073974n
HCTH147,6-31G(d),0.9964,1.0325,1.0357,10.1021/jp073974n
HCTH407,"6-31+G(d,p)",0.995,1.0292,1.0342,10.1021/jp073974n
HCTH407,"6-311+G(2df,p)",0.9993,1.0124,1.0168,10.1021/jp073974n
HCTH407,"6-311+G(d,p)",0.9981,1.0322,1.0399,10.1021/jp073974n
HCTH407,"6-31G(2df,p)",0.9951,1.0118,1.0149,10.1021/jp073974n
HCTH407,6-31G(d),0.9911,1.024,1.0273,10.1021/jp073974n
HCTH93,"6-31+G(d,p)",0.9991,1.0357,1.041,10.1021/jp073974n
HCTH93,"6-311+G(2df,p)",1.0033,1.0185,1.0224,10.1021/jp073974n
HCTH93,"6-311+G(d,p)",1.0022,1.0383,1.0466,10.1021/jp073974n
HCTH93,"6-31G(2df,p)",0.9992,1.0182,1.0214,10.1021/jp073974n
HCTH93,6-31G(d),0.9957,1.0311,1.0347,10.1021/jp073974n
HCTH93,pc-0,1.002,0.933,0.9108,10.1002/jcc.23073
HCTH93,pc-1,1,0.9806,0.9811,10.1002/jcc.23073
HCTH93,pc-2,1.002,0.9788,0.9765,10.1002/jcc.23073
HCTH93,pc-3,1.003,0.9789,0.9765,10.1002/jcc.23073
HCTH93,pc-4,1.003,0.9787,0.9763,10.1002/jcc.23073
HF,3-21G,0.9207,0.9444,0.9666,10.1021/jp960976r
HF,6-31+G(d),0.9154,0.8943,0.9024,10.1021/jp073974n
HF,"6-31+G(d,p)",0.92,0.8955,0.9035,10.1021/jp073974n
HF,"6-311++G(3df,3pd)",0.9265,0.8864,0.8938,10.1021/jp073974n
HF,"6-311+G(2d,p)",0.9273,0.8964,0.9044,10.1021/jp073974n
HF,"6-311+G(2df,p)",0.9268,0.8885,0.8959,10.1021/jp073974n
HF,"6-311+G(3d,p)",0.9268,0.8938,0.9013,10.1021/jp073974n
HF,"6-311+G(3df,2p)",0.926,0.8875,0.8949,10.1021/jp073974n
HF,"6-311+G(3df,3pd)",0.9265,0.8864,0.8938,10.1021/jp073974n
HF,"6-311+G(3df,p)",0.9262,0.8878,0.8953,10.1021/jp073974n
HF,6-311+G(d),0.9222,0.8957,0.903,10.1021/jp073974n
HF,"6-311+G(d,p)",0.9255,0.8967,0.9041,10.1021/jp073974n
HF,6-311G(d),0.9214,0.8947,0.9018,10.1021/jp073974n
HF,"6-311G(d,p)",0.9247,0.8951,0.9021,10.1021/jp073974n
HF,"6-311G(df,p)",0.9247,0.8908,0.8981,10.1021/jp960976r
HF,"6-31G(2df,p)",0.9222,0.8878,0.8949,10.1021/jp073974n
HF,6-31G(d),0.9135,0.8902,0.8978,10.1021/jp073974n
HF,"6-31G(d,p)",0.9181,0.8913,0.8991,10.1021/jp073974n
HF,aug-cc-pVDZ,0.9232,1.1169,1.1254,10.1021/jp048233q
HF,aug-cc-pVQZ,0.9211,1.1272,1.1352,10.1021/jp048233q
HF,aug-cc-pVTZ,0.9216,1.1259,1.1342,10.1021/jp048233q
HF,cc-pVDZ,0.9204,1.1254,1.137,10.1021/jp048233q
HF,cc-pVQZ,0.9202,1.1284,1.137,10.1021/jp048233q
HF,cc-pVTZ,0.9213,1.1278,1.1363,10.1021/jp048233q
HF,TZV2P,0.9256,0.8979,0.9054,10.1021/jp073974n
M05,"6-31+G(d,p)",0.9787,0.9761,0.9771,10.1021/jp073974n
M05,"6-311+G(2df,p)",0.9851,0.9571,0.9548,10.1021/jp073974n
M05,"6-311+G(d,p)",0.9841,0.9752,0.9757,10.1021/jp073974n
M05,"6-31G(2df,p)",0.9809,0.9558,0.9555,10.1021/jp073974n
M05,6-31G(d),0.9736,0.9712,0.9715,10.1021/jp073974n
M05,pc-0,0.977,0.9983,0.9772,10.1002/jcc.23073
M05,pc-1,0.9751,1.047,1.056,10.1002/jcc.23073
M05,pc-2,0.9771,1.046,1.05,10.1002/jcc.23073
M05,pc-3,0.9806,1.042,1.043,10.1002/jcc.23073
M05,pc-4,0.9848,0.9916,0.9916,10.1002/jcc.23073
M05-2X,"6-31+G(d,p)",0.9631,0.9504,0.9445,10.1021/jp073974n
M05-2X,"6-311+G(2df,p)",0.9663,0.9297,0.9206,10.1021/jp073974n
